visit_id,cookie_id,page_id,event_type,sequence_number,event_time
32a3fc,33e75f,7,1,7,"2020-02-29 02:06:03"
32a3fc,33e75f,7,2,8,"2020-02-29 02:06:11"
32a3fc,33e75f,8,1,9,"2020-02-29 02:06:24"
32a3fc,33e75f,10,1,10,"2020-02-29 02:06:50"
32a3fc,33e75f,12,1,11,"2020-02-29 02:07:33"
32a3fc,33e75f,13,3,12,"2020-02-29 02:07:53"
0813d2,6ea9ab,1,1,1,"2020-01-10 12:01:40"
0813d2,6ea9ab,2,1,2,"2020-01-10 12:02:35"
0813d2,6ea9ab,3,1,3,"2020-01-10 12:03:00"
0813d2,6ea9ab,3,2,4,"2020-01-10 12:03:24"
0813d2,6ea9ab,4,1,5,"2020-01-10 12:03:32"
0813d2,6ea9ab,4,2,6,"2020-01-10 12:04:19"
0813d2,6ea9ab,6,1,7,"2020-01-10 12:05:06"
0813d2,6ea9ab,6,2,8,"2020-01-10 12:05:36"
0813d2,6ea9ab,8,1,9,"2020-01-10 12:05:51"
0813d2,6ea9ab,9,1,10,"2020-01-10 12:06:13"
0813d2,6ea9ab,12,1,11,"2020-01-10 12:06:37"
0813d2,6ea9ab,13,3,12,"2020-01-10 12:07:27"
cd512e,34173c,1,1,1,"2020-02-02 01:54:15"
cd512e,34173c,3,1,2,"2020-02-02 01:54:33"
cd512e,34173c,3,2,3,"2020-02-02 01:55:26"
cd512e,34173c,6,1,4,"2020-02-02 01:56:16"
cd512e,34173c,7,1,5,"2020-02-02 01:56:52"
cd512e,34173c,7,2,6,"2020-02-02 01:57:17"
cd512e,34173c,12,1,7,"2020-02-02 01:57:42"
cd512e,34173c,13,3,8,"2020-02-02 01:58:03"
d193fc,c16a53,1,1,1,"2020-02-13 18:54:54"
d193fc,c16a53,4,1,2,"2020-02-13 18:55:16"
d193fc,c16a53,5,1,3,"2020-02-13 18:55:25"
d193fc,c16a53,5,2,4,"2020-02-13 18:56:12"
d193fc,c16a53,6,1,5,"2020-02-13 18:56:12"
d193fc,c16a53,8,1,6,"2020-02-13 18:56:42"
d193fc,c16a53,8,2,7,"2020-02-13 18:57:19"
d193fc,c16a53,10,1,8,"2020-02-13 18:57:46"
d193fc,c16a53,11,1,9,"2020-02-13 18:58:25"
4c98cd,6364d3,1,1,1,"2020-02-17 22:10:31"
4c98cd,6364d3,4,1,2,"2020-02-17 22:10:48"
4c98cd,6364d3,4,2,3,"2020-02-17 22:11:47"
4c98cd,6364d3,7,1,4,"2020-02-17 22:11:49"
4c98cd,6364d3,11,1,5,"2020-02-17 22:12:01"
4c98cd,6364d3,11,2,6,"2020-02-17 22:12:49"
4c98cd,6364d3,12,1,7,"2020-02-17 22:13:01"
4c98cd,6364d3,13,3,8,"2020-02-17 22:13:18"
8d7256,182be0,1,1,1,"2020-02-03 13:00:49"
8d7256,182be0,2,1,2,"2020-02-03 13:01:17"
8d7256,182be0,3,1,3,"2020-02-03 13:02:12"
8d7256,182be0,3,2,4,"2020-02-03 13:02:14"
8d7256,182be0,8,1,5,"2020-02-03 13:02:39"
8d7256,182be0,8,2,6,"2020-02-03 13:03:06"
8d7256,182be0,11,1,7,"2020-02-03 13:03:52"
97cca6,e36985,1,1,1,"2020-02-24 07:27:20"
97cca6,e36985,2,1,2,"2020-02-24 07:27:52"
97cca6,e36985,4,1,3,"2020-02-24 07:28:23"
97cca6,e36985,5,1,4,"2020-02-24 07:28:50"
97cca6,e36985,5,2,5,"2020-02-24 07:29:39"
97cca6,e36985,7,1,6,"2020-02-24 07:30:04"
97cca6,e36985,8,1,7,"2020-02-24 07:30:52"
97cca6,e36985,8,2,8,"2020-02-24 07:31:15"
97cca6,e36985,9,1,9,"2020-02-24 07:32:13"
97cca6,e36985,9,2,10,"2020-02-24 07:32:21"
97cca6,e36985,10,1,11,"2020-02-24 07:32:37"
97cca6,e36985,10,2,12,"2020-02-24 07:32:43"
97cca6,e36985,12,1,13,"2020-02-24 07:33:11"
97cca6,e36985,13,3,14,"2020-02-24 07:33:55"
6baa37,1c383c,1,1,1,"2020-01-22 01:09:59"
6baa37,1c383c,2,1,2,"2020-01-22 01:10:21"
6baa37,1c383c,3,1,3,"2020-01-22 01:10:32"
6baa37,1c383c,3,2,4,"2020-01-22 01:11:07"
6baa37,1c383c,4,1,5,"2020-01-22 01:12:00"
6baa37,1c383c,9,1,6,"2020-01-22 01:12:27"
6baa37,1c383c,9,2,7,"2020-01-22 01:12:32"
6baa37,1c383c,10,1,8,"2020-01-22 01:12:45"
6baa37,1c383c,10,2,9,"2020-01-22 01:13:30"
6baa37,1c383c,12,1,10,"2020-01-22 01:14:25"
6baa37,1c383c,13,3,11,"2020-01-22 01:14:58"
64fca2,19ca14,1,1,1,"2020-02-14 18:08:55"
64fca2,19ca14,2,1,2,"2020-02-14 18:08:56"
64fca2,19ca14,7,1,3,"2020-02-14 18:09:41"
64fca2,19ca14,8,1,4,"2020-02-14 18:10:28"
64fca2,19ca14,8,2,5,"2020-02-14 18:11:07"
64fca2,19ca14,10,1,6,"2020-02-14 18:11:50"
64fca2,19ca14,12,1,7,"2020-02-14 18:12:38"
64fca2,19ca14,13,3,8,"2020-02-14 18:13:02"
d214e6,a5bfc9,1,1,1,"2020-02-03 01:15:00"
d214e6,a5bfc9,2,1,2,"2020-02-03 01:15:30"
d214e6,a5bfc9,4,1,3,"2020-02-03 01:15:51"
d214e6,a5bfc9,4,2,4,"2020-02-03 01:15:53"
d214e6,a5bfc9,6,1,5,"2020-02-03 01:16:43"
d214e6,a5bfc9,6,2,6,"2020-02-03 01:17:43"
d214e6,a5bfc9,11,1,7,"2020-02-03 01:18:10"
d214e6,a5bfc9,12,1,8,"2020-02-03 01:18:31"
d214e6,a5bfc9,13,3,9,"2020-02-03 01:19:04"
97cf44,a5771b,1,1,1,"2020-01-28 22:16:01"
97cf44,a5771b,2,1,2,"2020-01-28 22:16:39"
97cf44,a5771b,3,1,3,"2020-01-28 22:17:10"
97cf44,a5771b,3,2,4,"2020-01-28 22:17:56"
97cf44,a5771b,5,1,5,"2020-01-28 22:18:00"
97cf44,a5771b,7,1,6,"2020-01-28 22:18:10"
97cf44,a5771b,7,2,7,"2020-01-28 22:18:48"
97cf44,a5771b,8,1,8,"2020-01-28 22:19:32"
97cf44,a5771b,8,2,9,"2020-01-28 22:19:33"
97cf44,a5771b,9,1,10,"2020-01-28 22:19:34"
97cf44,a5771b,9,2,11,"2020-01-28 22:20:30"
97cf44,a5771b,11,1,12,"2020-01-28 22:21:30"
97cf44,a5771b,12,1,13,"2020-01-28 22:21:42"
97cf44,a5771b,13,3,14,"2020-01-28 22:22:07"
f0e648,d67d8a,1,1,1,"2020-01-13 00:46:21"
f0e648,d67d8a,2,1,2,"2020-01-13 00:46:45"
f0e648,d67d8a,8,1,3,"2020-01-13 00:47:00"
f0e648,d67d8a,8,2,4,"2020-01-13 00:47:51"
f0e648,d67d8a,11,1,5,"2020-01-13 00:48:48"
f0e648,d67d8a,12,1,6,"2020-01-13 00:49:42"
f0e648,d67d8a,13,3,7,"2020-01-13 00:50:35"
8bfb23,d64592,1,1,1,"2020-02-07 22:03:57"
8bfb23,d64592,2,1,2,"2020-02-07 22:04:21"
8bfb23,d64592,3,1,3,"2020-02-07 22:04:30"
8bfb23,d64592,3,2,4,"2020-02-07 22:05:22"
8bfb23,d64592,4,1,5,"2020-02-07 22:06:22"
8bfb23,d64592,6,1,6,"2020-02-07 22:07:00"
8bfb23,d64592,6,2,7,"2020-02-07 22:07:08"
8bfb23,d64592,7,1,8,"2020-02-07 22:08:00"
8bfb23,d64592,8,1,9,"2020-02-07 22:08:24"
8bfb23,d64592,8,2,10,"2020-02-07 22:08:28"
8bfb23,d64592,9,1,11,"2020-02-07 22:09:11"
8bfb23,d64592,9,2,12,"2020-02-07 22:09:56"
8bfb23,d64592,10,1,13,"2020-02-07 22:10:09"
8bfb23,d64592,10,2,14,"2020-02-07 22:10:34"
8bfb23,d64592,12,1,15,"2020-02-07 22:10:36"
8bfb23,d64592,13,3,16,"2020-02-07 22:10:41"
aa6d31,3416a7,1,1,1,"2020-01-09 21:59:51"
aa6d31,3416a7,2,1,2,"2020-01-09 22:00:00"
aa6d31,3416a7,3,1,3,"2020-01-09 22:00:39"
aa6d31,3416a7,4,1,4,"2020-01-09 22:00:46"
aa6d31,3416a7,4,2,5,"2020-01-09 22:01:16"
aa6d31,3416a7,6,1,6,"2020-01-09 22:01:29"
aa6d31,3416a7,6,2,7,"2020-01-09 22:01:32"
aa6d31,3416a7,9,1,8,"2020-01-09 22:01:56"
aa6d31,3416a7,10,1,9,"2020-01-09 22:02:31"
d54641,a1d0c6,1,1,1,"2020-02-29 01:09:32"
d54641,a1d0c6,3,1,2,"2020-02-29 01:09:51"
d54641,a1d0c6,5,1,3,"2020-02-29 01:10:49"
d54641,a1d0c6,5,2,4,"2020-02-29 01:11:26"
d54641,a1d0c6,6,1,5,"2020-02-29 01:12:21"
d54641,a1d0c6,8,1,6,"2020-02-29 01:13:14"
d54641,a1d0c6,11,1,7,"2020-02-29 01:13:28"
d54641,a1d0c6,12,1,8,"2020-02-29 01:13:36"
d54641,a1d0c6,13,3,9,"2020-02-29 01:14:18"
f60bb1,17e621,1,1,1,"2020-02-22 07:52:30"
f60bb1,17e621,2,1,2,"2020-02-22 07:52:54"
f60bb1,17e621,8,1,3,"2020-02-22 07:53:10"
f60bb1,17e621,8,2,4,"2020-02-22 07:53:42"
f60bb1,17e621,10,1,5,"2020-02-22 07:54:32"
f60bb1,17e621,11,1,6,"2020-02-22 07:55:12"
f60bb1,17e621,12,1,7,"2020-02-22 07:55:55"
f60bb1,17e621,13,3,8,"2020-02-22 07:56:31"
cfbc1c,f71771,1,1,1,"2020-01-08 04:52:57"
cfbc1c,f71771,2,1,2,"2020-01-08 04:53:21"
cfbc1c,f71771,6,1,3,"2020-01-08 04:54:06"
cfbc1c,f71771,9,1,4,"2020-01-08 04:54:07"
cfbc1c,f71771,11,1,5,"2020-01-08 04:54:09"
cfbc1c,f71771,11,2,6,"2020-01-08 04:54:36"
cfbc1c,f71771,12,1,7,"2020-01-08 04:55:34"
cfbc1c,f71771,13,3,8,"2020-01-08 04:56:12"
cf849f,6c8349,1,1,1,"2020-02-09 11:31:50"
cf849f,6c8349,2,1,2,"2020-02-09 11:32:45"
cf849f,6c8349,3,1,3,"2020-02-09 11:33:43"
cf849f,6c8349,3,2,4,"2020-02-09 11:34:41"
cf849f,6c8349,4,1,5,"2020-02-09 11:34:56"
cf849f,6c8349,4,2,6,"2020-02-09 11:35:22"
cf849f,6c8349,6,1,7,"2020-02-09 11:35:22"
cf849f,6c8349,9,1,8,"2020-02-09 11:36:21"
cf849f,6c8349,11,1,9,"2020-02-09 11:36:28"
d400f3,d9d4f4,1,1,1,"2020-01-25 09:43:32"
d400f3,d9d4f4,2,1,2,"2020-01-25 09:44:06"
d400f3,d9d4f4,5,1,3,"2020-01-25 09:44:30"
d400f3,d9d4f4,5,2,4,"2020-01-25 09:45:24"
d400f3,d9d4f4,6,1,5,"2020-01-25 09:45:31"
d400f3,d9d4f4,6,2,6,"2020-01-25 09:46:18"
d400f3,d9d4f4,10,1,7,"2020-01-25 09:46:29"
d400f3,d9d4f4,12,1,8,"2020-01-25 09:46:38"
d400f3,d9d4f4,13,3,9,"2020-01-25 09:47:34"
a59fa0,67c6a1,1,1,1,"2020-02-20 21:55:32"
a59fa0,67c6a1,2,1,2,"2020-02-20 21:55:42"
a59fa0,67c6a1,3,1,3,"2020-02-20 21:56:27"
a59fa0,67c6a1,3,2,4,"2020-02-20 21:57:21"
a59fa0,67c6a1,9,1,5,"2020-02-20 21:57:35"
a59fa0,67c6a1,12,1,6,"2020-02-20 21:57:41"
3e7fc5,642e92,1,1,1,"2020-02-21 09:14:26"
3e7fc5,642e92,2,1,2,"2020-02-21 09:14:49"
3e7fc5,642e92,3,1,3,"2020-02-21 09:15:16"
3e7fc5,642e92,3,2,4,"2020-02-21 09:16:03"
3e7fc5,642e92,4,1,5,"2020-02-21 09:16:33"
3e7fc5,642e92,6,1,6,"2020-02-21 09:17:15"
3e7fc5,642e92,7,1,7,"2020-02-21 09:17:47"
3e7fc5,642e92,8,1,8,"2020-02-21 09:17:55"
3e7fc5,642e92,8,2,9,"2020-02-21 09:18:22"
3e7fc5,642e92,9,1,10,"2020-02-21 09:18:52"
7da3f2,f457c5,1,1,1,"2020-01-07 15:38:31"
7da3f2,f457c5,2,1,2,"2020-01-07 15:39:06"
7da3f2,f457c5,3,1,3,"2020-01-07 15:39:53"
7da3f2,f457c5,3,2,4,"2020-01-07 15:40:22"
7da3f2,f457c5,4,1,5,"2020-01-07 15:40:23"
7da3f2,f457c5,4,2,6,"2020-01-07 15:41:04"
7da3f2,f457c5,7,1,7,"2020-01-07 15:41:22"
7da3f2,f457c5,10,1,8,"2020-01-07 15:41:33"
7da3f2,f457c5,10,2,9,"2020-01-07 15:41:54"
7da3f2,f457c5,12,1,10,"2020-01-07 15:42:26"
d337c9,c0c7c7,1,1,1,"2020-02-13 12:26:35"
d337c9,c0c7c7,2,1,2,"2020-02-13 12:26:55"
d337c9,c0c7c7,6,1,3,"2020-02-13 12:27:51"
d337c9,c0c7c7,7,1,4,"2020-02-13 12:28:46"
d337c9,c0c7c7,9,1,5,"2020-02-13 12:29:40"
d337c9,c0c7c7,10,1,6,"2020-02-13 12:30:38"
d337c9,c0c7c7,10,2,7,"2020-02-13 12:31:06"
d337c9,c0c7c7,11,1,8,"2020-02-13 12:31:10"
d337c9,c0c7c7,12,1,9,"2020-02-13 12:31:32"
d337c9,c0c7c7,13,3,10,"2020-02-13 12:32:28"
fcc0cb,283802,1,1,1,"2020-01-04 01:36:34"
fcc0cb,283802,2,1,2,"2020-01-04 01:37:21"
fcc0cb,283802,4,1,3,"2020-01-04 01:37:52"
fcc0cb,283802,5,1,4,"2020-01-04 01:38:34"
fcc0cb,283802,5,2,5,"2020-01-04 01:39:04"
fcc0cb,283802,8,1,6,"2020-01-04 01:39:28"
fcc0cb,283802,8,2,7,"2020-01-04 01:39:39"
fcc0cb,283802,9,1,8,"2020-01-04 01:40:24"
fcc0cb,283802,10,1,9,"2020-01-04 01:40:54"
fcc0cb,283802,10,2,10,"2020-01-04 01:41:46"
fcc0cb,283802,11,1,11,"2020-01-04 01:42:05"
fcc0cb,283802,11,2,12,"2020-01-04 01:42:40"
fcc0cb,283802,12,1,13,"2020-01-04 01:42:42"
fcc0cb,283802,13,3,14,"2020-01-04 01:42:50"
85fdaf,9a1158,1,1,1,"2020-02-19 23:49:26"
85fdaf,9a1158,4,1,2,"2020-02-19 23:49:54"
85fdaf,9a1158,5,1,3,"2020-02-19 23:50:50"
85fdaf,9a1158,5,2,4,"2020-02-19 23:51:32"
85fdaf,9a1158,6,1,5,"2020-02-19 23:52:02"
85fdaf,9a1158,10,1,6,"2020-02-19 23:52:28"
85fdaf,9a1158,10,2,7,"2020-02-19 23:53:19"
9f4c50,d82c8d,1,1,1,"2020-02-06 19:18:46"
9f4c50,d82c8d,2,1,2,"2020-02-06 19:19:30"
9f4c50,d82c8d,3,1,3,"2020-02-06 19:20:04"
9f4c50,d82c8d,4,1,4,"2020-02-06 19:20:43"
9f4c50,d82c8d,4,2,5,"2020-02-06 19:21:21"
9f4c50,d82c8d,5,1,6,"2020-02-06 19:21:26"
9f4c50,d82c8d,7,1,7,"2020-02-06 19:22:09"
9f4c50,d82c8d,7,2,8,"2020-02-06 19:22:24"
9f4c50,d82c8d,8,1,9,"2020-02-06 19:22:42"
9f4c50,d82c8d,8,2,10,"2020-02-06 19:23:08"
9f4c50,d82c8d,9,1,11,"2020-02-06 19:23:08"
9f4c50,d82c8d,11,1,12,"2020-02-06 19:23:09"
9f4c50,d82c8d,11,2,13,"2020-02-06 19:23:46"
